staircase.thisTrialN,staircase.stepSize,staircase.intensity,thisRow.t,notes,trial.started,fixation.started,grating.started,key_resp.started,fixation.stopped,grating.stopped,trial.stopped,CorrAns,tilt,key_resp.corr,staircase.response,key_resp.rt,participant,session,date,expName,psychopyVersion,frameRate,expStart,
0,2,10.0,0.06985219999978654,,0.015330799999901501,0.06985219999978654,0.5287998999997399,0.5287998999997399,0.5808683000000201,0.8318575999996938,1.370524899999964,right,10.0,0,0,0.8210234999996828,841654,001,2024-09-06_12h14.51.774,Adaptive staircase,2024.1.5,None,2024-09-06 12h14.55.793925 +0530,
1,2,12.0,1.3790622999999869,,1.3706594999998742,1.3790622999999869,1.879895199999737,1.879895199999737,1.879895199999737,2.1962687999998707,2.4836990999997397,left,-12.0,0,0,0.5570447999998578,841654,001,2024-09-06_12h14.51.774,Adaptive staircase,2024.1.5,None,2024-09-06 12h14.55.793925 +0530,
2,2,14.0,2.4937354999997297,,2.4838199000000714,2.4937354999997297,2.9959915999997975,2.9959915999997975,2.9959915999997975,3.2971020999998473,3.50047719999975,right,14.0,0,0,0.4985938999998325,841654,001,2024-09-06_12h14.51.774,Adaptive staircase,2024.1.5,None,2024-09-06 12h14.55.793925 +0530,
3,2,16.0,3.5123404999999366,,3.5006384999996953,3.5123404999999366,4.013743900000009,4.013743900000009,4.013743900000009,4.330912999999782,4.564399099999719,left,-16.0,0,0,0.5346198000002005,841654,001,2024-09-06_12h14.51.774,Adaptive staircase,2024.1.5,None,2024-09-06 12h14.55.793925 +0530,
4,2,18.0,4.579227899999751,,4.564545799999905,4.579227899999751,5.0787139999997635,5.0787139999997635,5.0787139999997635,5.380368799999815,5.5651849999999286,left,-18.0,0,0,0.47244259999979477,841654,001,2024-09-06_12h14.51.774,Adaptive staircase,2024.1.5,None,2024-09-06 12h14.55.793925 +0530,
5,2,20.0,5.579966799999966,,5.56533649999983,5.579966799999966,6.079148499999974,6.079148499999974,6.095428899999661,6.380188199999793,6.648945699999786,right,20.0,0,0,0.5602733999999145,841654,001,2024-09-06_12h14.51.774,Adaptive staircase,2024.1.5,None,2024-09-06 12h14.55.793925 +0530,
6,2,20.0,6.663560299999972,,6.64909919999991,6.663560299999972,7.163856799999849,7.163856799999849,7.163856799999849,7.479328599999917,7.715101400000094,left,-20.0,0,0,0.5388585000000603,841654,001,2024-09-06_12h14.51.774,Adaptive staircase,2024.1.5,None,2024-09-06 12h14.55.793925 +0530,
7,2,20.0,7.730180199999722,,7.715243399999963,7.730180199999722,8.229368899999827,8.229368899999827,8.229368899999827,8.528985999999804,8.732810499999687,left,-20.0,0,0,0.48627269999997225,841654,001,2024-09-06_12h14.51.774,Adaptive staircase,2024.1.5,None,2024-09-06 12h14.55.793925 +0530,
8,2,20.0,8.745769099999961,,8.732976599999802,8.745769099999961,9.247132099999817,9.247132099999817,9.247132099999817,9.546710099999927,9.865082699999675,left,-20.0,0,0,0.6079976000000897,841654,001,2024-09-06_12h14.51.774,Adaptive staircase,2024.1.5,None,2024-09-06 12h14.55.793925 +0530,
9,2,20.0,9.883754399999816,,9.865229799999724,9.883754399999816,10.38028499999973,10.38028499999973,10.396389199999703,10.679047399999945,10.862642600000072,left,-20.0,0,0,0.4775760000002265,841654,001,2024-09-06_12h14.51.774,Adaptive staircase,2024.1.5,None,2024-09-06 12h14.55.793925 +0530,
