staircase.thisTrialN,staircase.stepSize,staircase.intensity,thisRow.t,notes,trial.started,fixation.started,grating.started,key_resp.started,fixation.stopped,grating.stopped,trial.stopped,CorrAns,tilt,key_resp.corr,staircase.response,key_resp.rt,participant,session,date,expName,psychopyVersion,frameRate,expStart,
0,2,10.0,0.024791399999685382,,0.007946899999751622,0.024791399999685382,0.5896021999997174,0.5896021999997174,0.6126638999999159,0.8923673999997845,1.81742899999972,right,10.0,0,0,1.2037794000002577,665339,001,2024-09-06_12h10.18.535,Adaptive staircase,2024.1.5,None,2024-09-06 12h10.19.945180 +0530,
1,2,12.0,1.8250232000000324,,1.8175097999996979,1.8250232000000324,2.3251283999998122,2.3251283999998122,2.3251283999998122,2.6248986000000514,2.92612599999984,left,-12.0,0,0,0.5984536999999364,665339,001,2024-09-06_12h10.18.535,Adaptive staircase,2024.1.5,None,2024-09-06 12h10.19.945180 +0530,
2,2,14.0,2.941553499999827,,2.926214499999787,2.941553499999827,3.44213179999997,3.44213179999997,3.44213179999997,3.7415704000000005,4.1277657000000545,left,-14.0,0,0,0.6760616999999911,665339,001,2024-09-06_12h10.18.535,Adaptive staircase,2024.1.5,None,2024-09-06 12h10.19.945180 +0530,
3,2,16.0,4.1423359999998866,,4.127920099999756,4.1423359999998866,4.643214799999896,4.643214799999896,4.643214799999896,4.943287399999917,5.210213099999692,left,-16.0,0,0,0.550922299999911,665339,001,2024-09-06_12h10.18.535,Adaptive staircase,2024.1.5,None,2024-09-06 12h10.19.945180 +0530,
4,2,18.0,5.225323299999673,,5.210356000000047,5.225323299999673,5.708787199999733,5.708787199999733,5.7265261999996255,6.010323699999844,6.161027799999829,right,18.0,0,0,0.43625729999985197,665339,001,2024-09-06_12h10.18.535,Adaptive staircase,2024.1.5,None,2024-09-06 12h10.19.945180 +0530,
5,2,20.0,6.175075699999979,,6.1611902999998165,6.175075699999979,6.674832599999718,6.674832599999718,6.674832599999718,6.975134399999661,7.182524999999714,left,-20.0,0,0,0.4977450999999746,665339,001,2024-09-06_12h10.18.535,Adaptive staircase,2024.1.5,None,2024-09-06 12h10.19.945180 +0530,
6,2,20.0,7.192547899999681,,7.182676299999912,7.192547899999681,7.6934909999999945,7.6934909999999945,7.6934909999999945,7.993734499999846,8.645035499999722,left,-20.0,0,0,0.9378594999998313,665339,001,2024-09-06_12h10.18.535,Adaptive staircase,2024.1.5,None,2024-09-06 12h10.19.945180 +0530,
7,2,20.0,8.66022649999968,,8.645186999999623,8.66022649999968,9.158892899999955,9.158892899999955,9.158892899999955,9.458321299999625,9.761706899999808,right,20.0,0,0,0.5896661000001586,665339,001,2024-09-06_12h10.18.535,Adaptive staircase,2024.1.5,None,2024-09-06 12h10.19.945180 +0530,
8,2,20.0,9.776130499999908,,9.761889799999608,9.776130499999908,10.276484099999834,10.276484099999834,10.276484099999834,10.576480400000037,10.927217199999632,left,-20.0,0,0,0.6412837000002582,665339,001,2024-09-06_12h10.18.535,Adaptive staircase,2024.1.5,None,2024-09-06 12h10.19.945180 +0530,
9,2,20.0,10.943620600000031,,10.927357000000029,10.943620600000031,11.443287599999621,11.443287599999621,11.443287599999621,11.742025099999864,14.213420699999915,right,20.0,0,0,2.7600847999997313,665339,001,2024-09-06_12h10.18.535,Adaptive staircase,2024.1.5,None,2024-09-06 12h10.19.945180 +0530,
10,2,20.0,14.225073099999918,,14.213570799999616,14.225073099999918,14.725933700000041,14.725933700000041,14.725933700000041,15.025586699999621,15.31027019999965,left,-20.0,0,0,0.5691254999997,665339,001,2024-09-06_12h10.18.535,Adaptive staircase,2024.1.5,None,2024-09-06 12h10.19.945180 +0530,
